Count,Index,DialogID,Dialog,Agreed emotion (2/3 vote),Worker 1 answer,Worker 2 answer,Worker 3 answer
2445,0.9-810743,2148724,All packed .,Prepared,Prepared,Prepared,Prepared
2446,0.9-607542,1568955,"Hey . Had a few questions .
Yeah , shoot . This indoor weed strain I 'm working on , it 's really strong , but it has a kind of low yield . Do you have any nutrient solutions that might help force more buds ' ?
We sell , quote , gardening supplies . You 're a hydroponic supply store . Does New Jersey have a different definition of ... I think what my friend here is trying to say is that he 's reducing his food bill this month by growing cherry tomatoes in a safe and totally non-profit home environment .",Impressed,Impressed,Impressed,Confident
2447,0.8-362,331111,"And she doesn 't want a doctor ?
She 's dying .",Sentimental,Sentimental,Sentimental,Sad
2448,0.9-686889,1773168,I made this for my son when I was at college .,Nostalgic,Nostalgic,Proud,Nostalgic
2449,0.9-796856,2107874,"Excuse me , does this little package belong to you ?
I picked it up just outside the door .",Surprised,Surprised,Surprised,Surprised
2450,0.9-1304889,3525317,"Feisty , isn 't she ! We ' cure you first and that way they can get to know each other Why are you so angry ?
Why ? They capture me , they bring me here in a cage They have no reason to ock me up But it ' I only be until your cured And not one second more ! I don 't want to end up like those ha ftamed anima s
And you ? What happened to you ?
Ahhh , I got in a fight with a bear , a really BIG ONE sometimes I can 't control my wild instincts",Afraid,Afraid,Afraid,Terrified
2451,0.9-860366,2296940,"Here 's Dr. Tobel , inspector . He ain 't too badly hurt .
Thank heavens for that .
Look after him will you Hoffner ?
I 'll take him to the car .",Confident,Confident,Caring,Confident
2452,0.9-713540,1850162,"Get my new assistant ?
No , I work around the clock.-Me too .",Acknowledging,Acknowledging,Acknowledging,Apprehensive
2453,0.9-645697,1667255,This is awesome .,Questioning,Questioning,Questioning,Acknowledging
2454,0.9-807684,2138570,"You have a visitor tonight , sir .
I hope you like it .",Consoling,Consoling,Acknowledging,Consoling
2455,0.9-1258705,3400735,You 'll get better .,Acknowledging,Encouraging,Acknowledging,Acknowledging
2456,0.9-630699,1628739,"I 'm sorry , Eiril .",Sympathizing,Sympathizing,Sympathizing,Lonely
2457,0.9-830413,2209238,"Joe , what are you up to with Brandon ?
Stopping some killing maybe .",Apprehensive,Questioning,Apprehensive,Apprehensive
2458,0.9-796855,2107874,"Excuse me , does this little package belong to you ?",Sympathizing,Sympathizing,Suggesting,Sympathizing
2459,0.9-855086,2282685,"Grimgerde and Rossweisse ! They are riding abreast .
Greetings , you riders",-,Consoling,Encouraging,Wishing
2460,0.9-800891,2118675,"Three atomic bombs to the value of one thousand billion lire .
So there , that 's what it was !",Agreeing,Acknowledging,Agreeing,Agreeing
2461,0.8-1169,1176251,"How the hell did they find us ?
How do you think ?
Somebody must 've sent a subspace transmission and tipped them off .
What are our options ?
With the FTL drive down , our only option is to fight . Can we take ' em ?
I can 't access weapons . We 're locked out .",Afraid,Afraid,Afraid,Apprehensive
2462,0.8-2128,2149134,"Let 's get one thing straight , Milo . Anybody but anybody lets our man know about this stakeout , it 's your ass .",Angry,Angry,Angry,Annoyed
2463,0.9-1033241,2789571,Keep talking while I change .,Annoyed,Annoyed,Annoyed,Annoyed
2464,0.9-878728,2347241,"Hi Francine .
Good evening . Hippo 's not here ?
I 'm waiting for him .",Anticipating,Anticipating,Anticipating,Anticipating
2465,0.7-2,8793,"What started as a relaxing evening ...
Has been interrupted by an urgent call from chef Ramsay . There 's something very important I would like to discuss with all of you . Hell 's Kitchen is closed to the public tonight . But I will be opening the doors for two large tables of 12 . They are distinguished members of the U.S. army who are now home . I got a boatload of years in the marine corps . This means a lot to me . We 're honoring my comrades . Let 's start getting prepped . Let 's go .
Yes , chef . We got a five-second notice that we was gonna be cooking for the military .
Can someone unzip me ?
I am feeling nervous right now . I got the bee gees , the bubble guts . This is insane . My makeup is running down my face . Makeup is smearing , like , everywhere , and it 's just terrible . Everybody 's face seems to be melting off right now . While the women switch from a day of primping to an evening of prepping , in the blue kitchen ...",Anxious,Anxious,Apprehensive,Anxious
2466,0.9-779630,2046242,I 'm filled with trepidation Were I to use violence ...,Apprehensive,Terrified,Apprehensive,Apprehensive
2467,0.9-898745,2412697,"Come back here , you . Hold him , Flannagan .
That ' s not necessary , gentlemen . I 'm harmless . I 'm a well-known businessman , Conductor .
Here , that ' s my line : Sunshine Fruit Tablets . I 'm President . I 'll pay for anything I 've done . I 'm so ashamed of myself , I can hardly talk .",Ashamed,Ashamed,Ashamed,Ashamed
2468,0.9-846040,2254982,"He likes you .
I 'm always nice to animals .. And to people ? Sometimes ...",Caring,Caring,Caring,Sympathizing
2469,0.9-812295,2153246,"Boss , who was that punk ?
I 've gota pretty good idea .",Confident,Confident,Prepared,Confident
2470,0.9-862862,2302403,"Relief guard , halt !
At ease .",Confident,Confident,Confident,Content
2471,0.9-842198,2244378,"Looks like I lost again girls . And I won . Deal . It 's been 2 thousand so far .
Listen , do you think our husbands are in a secret meeting ?
I don 't know . Those bastards must be in an orgy . But how , there 's only men there .
Don 't be dumb , there 's the secretaries , nurses , cooks . And if they didn 't have them their flunkies would bring even their sisters just to brown nose .
Must be nice to be in an orgy .
Oh yes ! I was in one once . Gerardo was on a trip . I was invited and I went .
How many do you want ? Two . But as the warden your husband can 't be gone long .
Hey , how did the orgy go ?
Let me tell you !
I almost threw in the towel . It was everyone against everyone .
I was nearly torn apart !",Devastated,Terrified,Devastated,Devastated
2472,0.9-1353692,3663831,We did not have as much fun as I had hoped .,Disappointed,Disappointed,Disappointed,Disappointed
2473,0.9-706622,1830318,"Don 't say another word about food until I 'm being fed .
Holy Transylvania ! Look at that lettuce .",Disgusted,Disgusted,Disgusted,Disgusted
2474,0.9-1073548,2894393,"Wasn 't this the way out ? Hey !
Sorry , sir !
I tripped .",Embarrassed,Embarrassed,Embarrassed,Embarrassed
2475,0.9-959982,2582743,"It seems to me a fine night 's work .
Smell it ! Guess or your money back .
Ah , lobster and mayonnaise .
Hello , Bloom , Ms. Bloom is ready ?
Take , for buying a gin or a water .
Advertise me ! I have business with his wife , you know ?
Thank you , sir . Yes , sir . Mrs. Bloom is in the bath .
Raoul , darling , Come dry me ! I 'm just using my new hat and a sponge !
Going up !",Excited,Excited,Excited,Excited
2476,0.9-835188,2223657,"It 's no use , Captain . I 'm a loyal wife to the Apache chief . I won 't betray him .",Faithful,Faithful,Caring,Faithful
2477,0.7-1644,2263124,"A nice boy . Handsome . I like him . Appeals to me .
Oh , Wally . Peggy , things just aren 't so simple anymore , so problem-free , and I find ... that one should be content if one has a small piece of happiness at home . And it 's lovely . You should be happy about it .
I am , I am ... Enjoy it while you can . But what interests me is : which of you two , I mean , what 's the configuration ?
You mean ... who fucks whom ?
Exactly ! You ? I mean , Wally , that 's none of your business . Tell me about yourself .
Peggy , I 'm so angry . I 'm debating whether to move out . I can 't take it . Nothing but foreigners living in there . And the garbage ! A catastrophe .",Angry,Angry,Devastated,Angry
2478,0.9-893516,2388392,"For what we are about to receive , may the Lord make us truly thankful .",Grateful,Grateful,Joyful,Grateful
2479,0.9-771769,2021928,I did not kill your sister .,Faithful,Guilty,Faithful,Faithful
2480,0.9-780187,2059403,"LOVE BACKED BY FORCE : FORGIVENESS SWEET .
BRING HOPE AND PEACE TO EASY STREET !",Hopeful,Hopeful,Hopeful,Hopeful
2481,0.9-680135,1754932,"Mr. Kiyohara . You 've outsmarted us .
Threatening an expose was a good plo y .
Not with us , that is , but the bank . Very smart . I 'm impressed .",Impressed,Impressed,Neutral,Impressed
2482,0.9-970569,2613435,I don 't get why your brother 's wife topped after two kids . That 's for common people who have to struggle to raise them .,Proud,Proud,Proud,Impressed
2483,0.9-1064302,2869513,"I 'm a free man . They finally recognized my innocence .
Poor Anna .
How you must have suffered !
Hold me . I 'm so happy .",Joyful,Joyful,Joyful,Joyful
2484,0.9-875694,2338432,I 'm lonely .,Lonely,Lonely,Lonely,Lonely
2485,0.9-702287,1817784,"Running the tapes again ?
Afraid you missed something ?
Perhaps I like watching old films . Five years old and mostly static and interference .",Nostalgic,Nostalgic,Sentimental,Nostalgic
2486,0.9-828655,2203117,Get ready .,Prepared,Prepared,Encouraging,Prepared
2487,0.9-644526,1663826,"How 's Karen ? Girl 's a fucking bitch . My cousin was born with a foot coming out of his knee . Now he 's a blacksmith . Only one who can pump the bellows without using his hands .
I passed my GED .",Proud,Proud,Confident,Proud
2488,0.8-393,376859,Now ... I can 't cherish memories for much longer .,-,Devastated,Sentimental,Sad
2489,0.9-688005,1776529,These jades pieces was my father 's gift to mom before he died,Sentimental,Sentimental,Sentimental,Sentimental
2490,0.9-803443,2126449,"What a setup .
I never thought Morty would do this .",Surprised,Surprised,Impressed,Surprised
2491,0.9-1348955,3650932,"I , for one , shall never forget those events . The terrible screams of the people being trampled .
Yes , send a report , urgently .
Right , the epicenter . Readings show it 's moving underground !
Nagano reports the epicenter moved underground . Epicenter still moving in a southward direction .
Do you think we should issue another warning ?
It won 't make any difference , they 're not even ready to move yet .
Better tell the commander . I recorded it , my father 's story .
Good idea . I found it very moving , to be honest .
Welcome ! I don 't think we should use it , do you ?
I recorded it for my own use . I 'm also his daughter , remember ? Then you should be able to convince him about the Guardian Monsters , shouldn 't you ?
Yeah , well , Dad 's also a navy commander . It now appears that the earthquake in Nagano Prefecture is not over . The epicenter seems to be moving ... The epicenter 's moving ! I heard . It was felt first in Niigata and later on this afternoon in Shizuoka . The Guardian Monsters ! Lf it 's Niigata , it must be Baragon .
Niigata , Ikeda and Fuji . According to this latest data as I understand it we have another monster , apart from Godzilla , moving underground .
That 's impossible !
But we have proof . This is definitely a living being . Yes , and even more incredible the locations concerned are exactly the locations that are mentioned in the legend .
You mean the Guardian Monsters , sir ? You know about the ancient legend too , sir ?
It was a monster ! It was there in that cave , underground ! I tell you , it had a horrible head on it ! It 's going to come and get us !",Terrified,Afraid,Terrified,Terrified
2492,0.9-889583,2379832,I 'm out of breath ! I feel safe with you ...,Trusting,Faithful,Trusting,Trusting
2493,0.9-716675,1859793,"Don 't you want me ?
Of course I do .",Agreeing,Questioning,Agreeing,Agreeing
2494,0.9-649425,1676816,It 's cool now .,Acknowledging,Questioning,Acknowledging,Acknowledging
2495,0.9-811412,2151102,"Do you perform weddings ?
I don 't get much call for that in these places .
Twenty-three . Forty-three .
Jamie ?
That bird 's taken quite a fancy to you .
Yes . Mr. Stewart , I do hope you 'll stay for dinner .
I hope you cook it too .",Encouraging,Encouraging,Encouraging,Encouraging
2496,0.9-1275828,3446924,"You want to get a job now , keep your head down . Give us a break . I only got out yesterday .
Well , I just hope you 've learnt your lesson .",Consoling,Encouraging,Consoling,Consoling
2497,0.9-640000,1652357,Sorry to trouble you at this late hour .,Sympathizing,Questioning,Sympathizing,Sympathizing
2498,0.9-833440,2218687,"Why don 't you tell old battle-ax Mattie to rout out ?
Maybe this 'll sober him up some .",-,Consoling,Hopeful,Suggesting
2499,0.9-797828,2110753,"Professor , what about the dinner menu ?",Questioning,Suggesting,Questioning,Questioning
2500,0.9-885603,2367793,"Why don 't you get some rest ?
Good night , Sam .",Wishing,Sympathizing,Wishing,Wishing
2501,0.9-801307,2120053,"Is he inside ?
Yeah , but you wait here .",Agreeing,Questioning,Agreeing,Agreeing
2502,0.8-1316,1341985,"Thought you got lost .
The forest here is too thin . had to walk quite far away from the road .",Afraid,Terrified,Afraid,Afraid
2503,0.8-2231,2242194,"Well done , Balon . Get some rest . We start the second phase in two hours . I 've told you over and over again .
Why won 't you believe me ?
All right Let us assume that I do believe you .
Who is Bartolomew ? Where is he ? What 's in it for me ?
A way out . I don 't trust you .
Your problem . Why trust you ?
I 've got the gun . Bartolomew was just a code name . Yes ?
Well , I 'm not sure who he was . End of conversation . No , wait . Don 't shoot . Bartolomew was Central Security 's top agent .
So you said . No one knew who he was . No one was safe from him . He was free to hunt anyone in or out of the service . He could watch you , and if he didn 't like what he saw ... Paranoia is the occupational hazard of the torturer . Bartolomew was real . Was real ?
One of the first targets of the Rebellion was Central Security . Their mistake was their obsession with revenge . When they finished kicking the corpses , they 'd lost their chance . The President had regrouped her forces .
You 're saying Bartolomew was one of the corpses they were kicking ?
No , I don 't think so , if I escaped , why shouldn 't he ?
You 're wasting my time , Shrinker . Ifs are no use to me or to you , either . No , wait , please . I 've got a name . A name ?
I had to question a controller from Central ... when I was with the rebels ... So that 's how you escaped . When the rebels lost , you changed sides yet again .
No one could accuse you of being doctrinaire , could they ? Why didn 't the controller recognise you ? Why should he ?
The elite from Central didn 't mix with the interrogation division . Their fastidiousness did them credit . Somebody 's got to do the lousy jobs . Life is cruel , isn 't it ?
Spare me the rationalisations . Just give me the name .
Councillor Chesku .
The controller told you that that was who Bartolomew was ?
Not exactly . What exactly ?
I 'd finished questioning him , he was dying ... and suddenly I got curious ... so I hit him with one last order , "" Identify Bartolomew "" . And he said , "" Councillor Chesku is still "" ... and then he died .
Chesku . He 's one of Servalan 's closest advisors . She 'd know the answer , why don 't you ask her ?
I might just do that .
Are you ready to bring me up ? Ready when you are . Stand by . We had a deal .
Did we ? A way out . You promised me . And I 'm a man of my word . In the end , that 's all there is , really .
What 's that for ? That 's your way out . It 's a better deal than you gave any of your victims . Bring me up . No , we had a deal . That isn 't what I meant . That isn 't fair .
It isn 't fair !",Angry,Furious,Angry,Angry
2504,0.9-1050158,2831945,So many kids around now . Sunday means noise . My house 's filled with them today . I couldn 't stay there . Watch your legs .,Annoyed,Furious,Annoyed,Annoyed
2505,0.9-898957,2413293,"Why were you sitting there like a stone image when those men were insulting me ?
I was just waiting for one of ' em to say something to me .",Anticipating,Hopeful,Anticipating,Anticipating
2506,0.7-53,86189,"Yaohua , you 're here ! You 're finally here . I was worried you wouldn 't get here .
Right , we were so worried . We came from 10 li away by fast horse . Anyway , we made it in time to meet you . It 's getting foggy .",Anxious,Apprehensive,Anxious,Anxious
2507,0.9-779905,2051782,"You don 't reckon she 'll be wantin us to take a bath , do you ?
I 'm a little nervous about it .",Anxious,Anxious,Anxious,Anxious
2508,0.9-917619,2461754,"How embarrassing ...
A fool and gay ! I swear ...",Ashamed,Ashamed,Ashamed,Embarrassed
2509,0.9-883922,2362623,Frank is sick and I 'll try to help him .,Caring,Caring,Caring,Caring
2510,0.9-827454,2199696,"Nobody can keep losing What 's in your mind ?
I 've got a winning plan",-,Confident,Hopeful,Prepared
2511,0.9-873820,2333139,I just work here .,Content,Content,Confident,Content
2512,0.9-876138,2339747,My dream has come true . I think I 'm falling to pieces .,-,Devastated,Terrified,Afraid
2513,0.9-1360582,3682677,"What happened to Firebush ?
Looks like she let us down again .",Disappointed,Disappointed,Disappointed,Disappointed
2514,0.9-743083,1937280,"I love you . That 's what I 'd be like dead , after one shot to the temple .
How disgusting !",Disgusted,Disgusted,Disgusted,Disgusted
2515,0.9-1074120,2895721,I can 't seem to stand up .,Ashamed,Ashamed,Ashamed,Embarrassed
2516,0.9-1011344,2721994,"Dear friends !
I am exited .",Excited,Excited,Excited,Excited
2517,0.9-846480,2256368,"Dearly beloved , we are gathered here in the sight of God to join this man and this woman in holy matrimony , If any person can show just cause why they may not lawfully be joined together , let him now speak or else hereafter hold his peace .",Faithful,Faithful,Furious,Faithful
2518,0.7-1662,2290183,"You must get rid of that good-for-nothing .
Can 't even pay his rent !",Annoyed,Annoyed,Furious,Annoyed
2519,0.9-896027,2400056,Thank God you came .,Grateful,Grateful,Grateful,Grateful
2520,0.9-788216,2083444,"What did you do with my goddamn liquor ?
I didn 't touch it . Amy hasn 't had anything to eat for 2 days .",Caring,Caring,Caring,Ashamed
2521,0.9-781440,2063927,"I had hoped when we came here that there would be some money left to buy a little house and maybe find a woman , who could take care of us .",Hopeful,Hopeful,Hopeful,Suggesting
2522,0.9-684748,1767358,This idiot has kept everything tidy .,Surprised,Impressed,Surprised,Surprised
2523,0.9-971630,2615671,I wish I had a flag !,Jealous,Jealous,Jealous,Nostalgic
2524,0.9-1071441,2888746,"Hi , darling .
How are you ? This is wonderful .
I 'm having a delightful time !",Joyful,Joyful,Joyful,Joyful
2525,0.9-880266,2351553,"You can set a very personal question ?
I have no boyfriend .",Lonely,Lonely,Lonely,Lonely
2526,0.9-749361,1956454,"All right , fellers , get stuck into the chilled article .
Problem sits down the hall , right .
How do they do it ? I remember Bazzer from way back . We used to go rod-wallopping behind the school board at Trumper Park .",Nostalgic,Nostalgic,Nostalgic,Nostalgic
2527,0.9-834122,2220643,I think our table is ready .,Prepared,Joyful,Prepared,Prepared
2528,0.9-654848,1690820,"I was just gonna call you .
Oh , to yell at me again for saving your life ?
No . To thank you . I 'm starting to see the light at the end of the tunnel . If I had gone through with it today ... There 'd be no light ... Ever . But now ... We have got eyes inside his house .
You shoulda seen me , Ems . I hacked into an electrical grid , jammed a satellite , and ... Paid off a cable guy . You 'd have been proud .
I am proud .",Proud,Proud,Proud,Proud
2529,0.8-469,465034,"It 's been a pretty tough few weeks , sweetheart . I tell you , I 'm physically and mentally drained !",Sad,Sad,Sad,Lonely
2530,0.9-698761,1808156,I always kept a picture of you .,Sentimental,Sentimental,Sentimental,Sentimental
2531,0.9-814267,2159356,The chicken today is so small It 's quite big What a bluff !,Surprised,Surprised,Impressed,Surprised
2532,0.9-1371294,3713560,"Lijie left . Totally lost faith in people . Nobody could tolerate me .
What could I do ?
I had no answers anymore . I looked out the window every day , longing for an answer . One day I saw one black cloud flying toward me from the south ... in the shape of a dragon . Its eyes stared at me . It was horrible , they were my eyes .",Terrified,Terrified,Terrified,Devastated
2533,0.9-928863,2494061,"Mummy , a tandem ! Call the police !
Can we swap bikes for five minutes ?
I 've never lent my bike to anyone . Your back tyre 's a bit flat .",Apprehensive,Apprehensive,Apprehensive,Apprehensive
2534,0.9-721779,1875749,We know about your crime .,Confident,Confident,accusing (Other),Confident
2535,0.9-651557,1681927,"Could you slow clown a little bit , please ?
This is fun .",Joyful,Joyful,Joyful,Joyful
2536,0.9-815607,2163776,I hope you two will be very happy .,Encouraging,Encouraging,Consoling,Encouraging
2537,0.9-1297214,3504492,"I see better without them .
How did you behave last night , huh ?
You bashed my nose ! You flipped out ?
Oh , fuck ! Mind your French . Jaruzelski 's plans are a significant initiative .
Why interested in Jaruzelski all of a sudden ?
That 's what I needed !
So did I ? I wanted a wife to make me breakfast so I got one ! An unbuttered roll . Enjoy !
Why are you yelling at me ?
Why should I make you breakfast ?
Sometimes you could 've made it for me ... Once .
What happened , darling ? You quarreled with Mom ?
I hope you 'll have gotten over it by the evening .",Consoling,Consoling,Consoling,Encouraging
2538,0.9-664072,1714375,"We were expecting you for dinner
Sorry , it took a bit longer than i expected .",Acknowledging,Acknowledging,Sympathizing,Acknowledging
2539,0.9-848324,2261877,"Klytus !
Are your men on the right pills ?
Maybe you should execute their trainer .",Suggesting,Suggesting,Suggesting,Suggesting
2540,0.9-798154,2111551,"I want to go back and get that car .
Come on , are you out of your mind ?",Questioning,Questioning,Questioning,Questioning
2541,0.9-900811,2418277,"Hello , Abe .",Wishing,AKNOWLEDGE (Other),Wishing,Wishing
2542,0.9-806246,2134234,"What a fucking joke !
Yes , but you were scared as chickens .",Agreeing,Agreeing,Afraid,Agreeing
2543,0.8-1508,1557964,I think the machine is broken .,Apprehensive,Apprehensive,Apprehensive,Apprehensive
2544,0.8-2349,2353640,"Well , La Rose , said Saint Florent , narrow her a bit . They spread me wide open on the ground . The one about to reduce the openings took a long needle and a waxed thread . lgnoring the gushing blood , and the pain he was inflicting on me , watched by the two laughing men , the monster neatly sowed up the gateway to the Temple of Love .
How decadent !
We shall be ashamed of having taught the people to read . Sade ... Who can this pseudonym be hiding ?
The poet André Chénier ?
Perhaps , but somehow I don 't think so , Fabre d 'Eglantine ?
Only a nobleman can write such horrors , lord .
Fatal !",Furious,Angry,Furious,Furious
2545,0.9-1055097,2845468,That phone 's been ringing for 10 minutes . It 's getting on my nerves !,Annoyed,Annoyed,Angry,Annoyed
2546,0.9-920586,2469921,"Can anyone sing here ?
I don 't think so . Unless Rhadija ... I sing like a frog .
I know a song . But it can also be spoken . I learned it at boarding school . I said it to myself at night , to give me courage .
Courage for what ?
Courage for waiting .
I spent my time waiting . Waiting for everything in life : waiting for vacation , to see Antoine again . Go on . We 're listening .",Anticipating,Anticipating,Anticipating,Anticipating
2547,0.7-112,181646,"Yes , I 'mI 'm You all right ?
I 'm fine . I just sometimes get where I can 't take a deep breath and when I can , it makes me panic and it makes it even worse .",Anxious,Anxious,Apprehensive,Anxious
2548,0.9-780053,2055682,"Clean already ?
The device seems very practical , but I just can 't decide whether to buy it .",Apprehensive,Apprehensive,Neutral,Apprehensive
2549,0.9-920635,2470001,"What are you doing here ? I thought you might be able to help me .
I did . And I 'm not proud of it .",Guilty,Guilty,Guilty,Ashamed
2550,0.9-900196,2416630,"You think they 're going to find the sheriff ?
Eventually .
What about Lucas ?
I took care of him .",Caring,Caring,Caring,Caring
2551,0.9-839237,2235614,I 'll get the M.O.,Confident,Confident,Hopeful,Confident
2552,0.9-876562,2340749,"How did you like command ?
Comfortable chair .",Content,Content,Questioning,Content
2553,0.9-912707,2448966,"Here it is . There he is . That was my Dugan , when he was about the same age as you .
Dugan ! My boy Dugan . That day the mine caved in , I thought I 'd never get over it .",Devastated,Devastated,Devastated,Sentimental
2554,0.9-1389986,3766831,"We 're gonna start with you , Yigit .
I translated a negroni . I used campari to make a campari and blood-orange agar agar . And then for the creamsicle part , I made a citrus-scented vanilla panna cotta . And I paired that with a sweet basil ice cream , which I think just kind of ties everything together . My favorite cocktail on the earth , it might possibly be the simplest- - okay , so we 've got a cola-spiced dickel 's whiskey cake . And that 's being served over a coke fluid gel and a Dickel 's Tennessee gelee .
Great . Enjoy . I decided to do a gingerbread cake with a el Dorado 15-year rum caramel sauce and then garnished just like the Jamaican firefly with some candied ginger as well .
Thanks , Chefs . All : Thank you .
Elizabeth , did you like Yigit 's dessert ?
What comes together for me the most is all of this color on the plate . It looks like a fun , cocktail-themed dessert .
How do you make ice cream out of basil ?
Oh , see , I 'm really into that .
I like it too . The ice cream , you know , unfortunately was a little bit melted . That 's a timing issue , so that 's , again , that 's something he has to think about when he plates . The campari is one of my favorite flavors , so of course I enjoyed that .
Tell me what you thought of Morgan 's whiskey cake .
What I really liked in that dish was the gelee . It suddenly pops in your mouth like a cocktail , right ?
He did a great job . I just wish there was one more thing on that cake . I found it very dry too .
It didn 't really seem like a dessert . I was really looking forward to trying Heather C 's dessert . She 's got a lot of great Spice in there .
It 's a really delicious gingerbread . It doesn 't really all come together the way I think she wanted it to . I was actually really excited about having lime in the middle of it , but I didn 't get any lime .",Disappointed,Disappointed,Disappointed,Disappointed
2555,0.9-745368,1944183,"how much beer do you drink ?
Two half-litres a day .
Disgusting .",Disgusted,Disgusted,Angry,Disgusted
2556,0.9-1076897,2904324,This is a bit embarrassing .,Embarrassed,Embarrassed,Embarrassed,Embarrassed
2557,0.9-1048121,2827025,"I 'll say goodbye now . I 'm leaving on the morning train .
We 're going to see the sunrise !",Excited,Excited,Joyful,Excited
2558,0.9-871933,2328099,See ? I held the promise .,Faithful,Trusting,Faithful,Faithful
2559,0.7-1664,2296834,"Respect , Thomas , you know how to ride . You saved the victory for us ! You would have won without me . He just ran off the track .
I am so angry , I can 't tell you . The curb is too short , he 's bleeding . He was locked and didn 't take the turn .",Angry,Angry,Angry,Angry
2560,0.9-907116,2435860,"I could not get any gasoline , but I got something almost as good .",-,Joyful,Surprised,Grateful
2561,0.9-814133,2158891,"It was nice of you to come out . You didn 't have to do that .
If I 'd have been there sooner , he might still be alive . He didn 't deserve to get it that way . If there 's anything I can do ... .
I feel responsible somehow .",Ashamed,Ashamed,Ashamed,Guilty
2562,0.9-786347,2078235,"Romano , cut the lights before everything blows up .
Somebody up there loves us ! We can go home . It might let up .",Hopeful,Hopeful,Suggesting,Hopeful
2563,0.9-692916,1791815,The colonists ' laboratory . Extremely well equipped .,Impressed,Impressed,Impressed,Impressed
2564,0.9-995618,2678803,"Why do you think the kids tease you all the time ?
They 're jealous that I 'm so handsome .",Confident,Confident,Annoyed,Confident
2565,0.9-1078712,2909704,"Gypsies , why don 't you play ?
Play ! It 's a time of happiness !",Excited,Joyful,Excited,Excited
2566,0.9-900028,2416113,Now we 're alone ...,Lonely,Lonely,Lonely,Lonely
2567,0.9-766256,2005496,What is this place ? We used to play here as kids .,Nostalgic,Nostalgic,Nostalgic,Nostalgic
2568,0.9-850565,2268763,I 'm ready for you .,Prepared,Prepared,Prepared,Prepared
2569,0.9-664007,1714226,The red Hulk is a success . Despite his earlier disobedience . You 've all done a great service for your country .,Impressed,Proud,Impressed,Impressed
2570,0.8-618,605927,Some people end their life too quickly because it wasn 't very happy ;,-,Devastated,Sentimental,Sad
2571,0.9-716903,1860432,Daddy must have kept every letter I ever wrote him . These are all the letters I wrote him overseas .,Sentimental,Sentimental,Sentimental,Nostalgic
2572,0.9-821714,2182569,Surprised to see me here ?,Surprised,Surprised,Surprised,Questioning
2573,0.9-1436400,3894321,It was a snake .,Terrified,Terrified,Apprehensive,Terrified
2574,0.9-940474,2527968,"See how happy my wife is ?
Won 't you agree ?
We will raise him to be a great warrior .
Place your trust in me . Let us adopt him .",Trusting,Trusting,Trusting,Trusting
2575,0.9-733066,1909125,"Can I get a glass of water ?
Yes , definitely .",Agreeing,Agreeing,Agreeing,Agreeing
2576,0.9-683422,1763947,"Shades are a nice touch , Alex .",Acknowledging,Agreeing,Acknowledging,Acknowledging
2577,0.9-820161,2178188,"Picture , sir ?
He 's quite tame .
I hope you 'll both be very happy .",Encouraging,Encouraging,Encouraging,Encouraging
2578,0.9-1313658,3549309,"Hey , it 's Jim . Leave a message . Hi .
Hey , this is Pam . Leave a message . Hey . It 's me . It is 5 : 03 . I figured I 'd catch you walking to your car , but ... Guess you must be out or something . I 'll leave a message .
Is it me or are we just a little off today ?
I guess this is just one of those days .
It 'll get better .",Consoling,Encouraging,Consoling,Consoling
2579,0.9-685621,1769435,"I 'm sorry , where is the restroom ?",Questioning,Questioning,Questioning,Questioning
2580,0.9-865513,2310184,"Where have I seen you before ?
Maybe in one of your better dreams .",Hopeful,Hopeful,Hopeful,Suggesting
2581,0.9-822462,2184566,"Alexis , what have you done ?",Suggesting,Suggesting,Questioning,Suggesting
2582,0.9-904450,2428338,"Hello , Fu Manchu .",-,Wishing,Neutral (Other),Nostalgic
2583,0.9-810231,2147136,"Are we going home ?
Yes , but I have somewhere to go before that .",-,Agreeing,Neutral,Afraid
2584,0.8-1514,1560940,"Will you burn me ... after ?
Can 't . Someone might see the smoke .",Anxious,Anxious,Afraid,Anxious
2585,0.8-2409,2414667,"Evidently , ... the system is wrong !
Sorry again , so sorry ! And please , do not say anything to my aunt .
It is wrong !",Furious,Furious,Furious,Angry
2586,0.9-1058880,2856568,"If I could get my pencil back , I 'd go home . I 'm sorry my husband isn 't here , if you wanted to see him .
I don 't know whether I want to see him or not .
It depends . I don 't understand you .
I don 't fully understand myself .
What are they laughing at , Nelly ?
Half of Mr. Twiller 's mustache fell off .
I don 't think the audience noticed it . He stuck it right on again . Huh ? What sort of rumor was it , Mr. Rush , if I may ask ?
The usual kind . It fell off again .
Oh , why on earth hasn 't he the brains to leave it off ?
And he has his hat on too . Get over here , Nelly .
Let me talk to him .
Mr. Twiller , leave off your mustache And take off your hat . He keeps sticking it on again . Mr. Twiller should have grown a mustache for that part . Should have grown a beard . Maybe we wouldn 't have recognized him .
I hope your husband will be able to explain .
This has become very annoying . Ha !",Annoyed,Annoyed,Annoyed,Acknowledging
2587,0.9-921811,2473413,"Another day in a jam-packed train . Fuelled by the stretch of rails .
Urushiba !
I 've been looking for you . I 've spent the whole day waiting for your phone call .",-,Hopeful,Anticipating,Disappointed
2588,0.7-168,263287,My heart beats erratically . lt 's nervous .,Anxious,Apprehensive,Anxious,Anxious
